Wall time,Step,Value
1583937715.0433383,10,2.850512981414795
1583937721.2357507,20,2.8537869453430176
1583937727.346135,30,2.850177764892578
1583937733.3287816,40,2.886914014816284
1583937739.4679365,50,2.894986867904663
1583937745.4927561,60,2.91023850440979
1583937750.8740513,70,2.8941831588745117
1583937756.0492954,80,2.889803409576416
1583937761.9491084,90,2.897439479827881
1583937768.0763211,100,2.8902149200439453
1583937774.4836476,110,2.8910231590270996
1583937780.9433692,120,2.895434617996216
1583937788.8098185,130,2.8981070518493652
1583937795.8388777,140,2.896899700164795
1583937803.0951514,150,2.8910062313079834
1583937810.1655068,160,2.8844234943389893
1583937816.4817743,170,2.881762742996216
1583937823.0912514,180,2.874929904937744
1583937829.9013777,190,2.8573384284973145
1583937836.9685514,200,2.8527956008911133
1583937844.1048748,210,2.8472399711608887
1583937851.3479774,220,2.8413279056549072
1583937858.1972778,230,2.8368372917175293
1583937867.9614286,240,2.8331058025360107
1583937876.6372848,250,2.825643301010132
1583937886.1169577,260,2.8259963989257812
1583937894.7789097,270,2.825448751449585
1583937902.3411164,280,2.818626880645752
1583937910.9602797,290,2.815601348876953
1583937919.1170614,300,2.81329345703125
1583937925.5502403,310,2.8119239807128906
1583937935.7701535,320,2.808819532394409
1583937943.1073637,330,2.8057045936584473
1583937949.6547976,340,2.800384283065796
1583937957.0550992,350,2.8019728660583496
1583937964.7211268,360,2.8004531860351562
1583937971.0683694,370,2.7982265949249268
1583937977.885133,380,2.7970337867736816
1583937984.878222,390,2.795596122741699
1583937994.7436883,400,2.7908928394317627
1583938004.9791415,410,2.789738893508911
1583938014.6196396,420,2.7869744300842285
1583938022.500164,430,2.781367063522339
1583938031.0073252,440,2.7776637077331543
1583938038.9239638,450,2.777369737625122
1583938050.2244964,460,2.7743077278137207
1583938059.4378655,470,2.776278018951416
1583938067.1534002,480,2.7721190452575684
1583938076.091437,490,2.7701966762542725
1583938083.703552,500,2.7652246952056885
1583938092.793585,510,2.7623674869537354
1583938101.8418643,520,2.761714220046997
1583938110.6730597,530,2.76173996925354
1583938119.505023,540,2.7598788738250732
1583938128.5750852,550,2.7590439319610596
1583938137.1693497,560,2.7561862468719482
1583938146.0124915,570,2.7569515705108643
1583938155.49498,580,2.7564778327941895
1583938164.6483982,590,2.755774736404419
1583938173.5334356,600,2.753694772720337
1583938182.012342,610,2.754525899887085
1583938191.7758734,620,2.753728151321411
1583938203.0320163,630,2.7517905235290527
1583938212.1600885,640,2.7519631385803223
1583938221.200275,650,2.74969482421875
1583938229.8589492,660,2.7465224266052246
1583938239.6502962,670,2.7474753856658936
1583938247.8695993,680,2.744114637374878
1583938256.2382991,690,2.7397239208221436
1583938265.1371908,700,2.7403147220611572
1583938274.5330968,710,2.7371766567230225
1583938283.5922759,720,2.734839677810669
1583938291.5983055,730,2.7323436737060547
1583938301.450723,740,2.7323222160339355
1583938310.5800622,750,2.7292351722717285
1583938319.4648454,760,2.728079080581665
1583938329.2841794,770,2.729541301727295
1583938337.208384,780,2.726494312286377
1583938344.9407334,790,2.7257370948791504
1583938354.1476781,800,2.7234082221984863
1583938363.7887583,810,2.719373941421509
