Wall time,Step,Value
1593974619.4578571,10,2.874854326248169
1593974621.9619522,20,2.708505153656006
1593974624.5095663,30,2.766395092010498
1593974627.0329938,40,2.773482322692871
1593974630.089,50,2.781663179397583
1593974633.3437495,60,2.732919454574585
1593974636.7873147,70,2.7141330242156982
1593974639.8264303,80,2.7212963104248047
1593974643.1290867,90,2.7107393741607666
1593974646.4268336,100,2.662332057952881
1593974650.1213386,110,2.657458782196045
1593974653.1020615,120,2.6303727626800537
1593974656.4578948,130,2.6355135440826416
1593974659.9233263,140,2.6222779750823975
1593974663.5490587,150,2.6232190132141113
1593974666.726027,160,2.6340231895446777
1593974670.455526,170,2.6413402557373047
1593974673.8536744,180,2.642428159713745
1593974677.196626,190,2.642643690109253
1593974680.72946,200,2.626650810241699
1593974684.5227935,210,2.6220476627349854
1593974688.176019,220,2.6160011291503906
1593974691.5110474,230,2.6239144802093506
1593974694.9594128,240,2.621609687805176
1593974698.6872468,250,2.6248130798339844
1593974702.153048,260,2.6143479347229004
1593974705.5226338,270,2.6160426139831543
1593974708.563963,280,2.615679979324341
1593974712.215851,290,2.607218027114868
1593974715.946702,300,2.601999044418335
1593974719.2711918,310,2.5933384895324707
1593974722.8736217,320,2.581268787384033
1593974726.3942113,330,2.5760180950164795
1593974730.0843196,340,2.5584218502044678
1593974733.903255,350,2.557086706161499
1593974737.1311142,360,2.558100461959839
1593974740.9086738,370,2.5545172691345215
1593974744.5531852,380,2.5438594818115234
1593974747.972097,390,2.5411300659179688
1593974751.8886402,400,2.533912420272827
1593974755.3700001,410,2.5175676345825195
1593974759.8957458,420,2.5182864665985107
1593974762.3626363,430,2.521570920944214
1593974765.996991,440,2.510512113571167
1593974769.66262,450,2.5022644996643066
1593974773.1241047,460,2.5027718544006348
1593974776.6687562,470,2.4992523193359375
1593974780.2935767,480,2.4950740337371826
1593974784.0667472,490,2.494450092315674
1593974787.5038357,500,2.49318265914917
1593974791.055041,510,2.4863674640655518
1593974794.8682578,520,2.483137607574463
1593974798.9015083,530,2.4676308631896973
1593974802.2784686,540,2.4626543521881104
1593974805.9296093,550,2.4523158073425293
1593974810.2417712,560,2.451314926147461
1593974813.7665102,570,2.4438250064849854
1593974817.2770295,580,2.442538022994995
1593974820.746234,590,2.4399824142456055
1593974824.947285,600,2.435298442840576
1593974828.8501158,610,2.4318878650665283
1593974832.3356354,620,2.4253671169281006
1593974836.1504054,630,2.4192001819610596
1593974839.823319,640,2.4116899967193604
1593974843.767813,650,2.4081389904022217
1593974847.5762455,660,2.4017255306243896
1593974851.2476869,670,2.3899085521698
1593974854.5220337,680,2.381218910217285
1593974858.1805005,690,2.375749111175537
1593974861.8618348,700,2.3668346405029297
1593974865.4059196,710,2.3666200637817383
1593974868.9443471,720,2.363618850708008
1593974872.526688,730,2.3600351810455322
1593974875.830842,740,2.3543829917907715
1593974879.5157409,750,2.348029375076294
1593974883.5100853,760,2.3464224338531494
1593974887.2383246,770,2.338176727294922
1593974890.7269394,780,2.333951711654663
1593974894.50721,790,2.330953359603882
1593974898.3583596,800,2.3224380016326904
1593974902.000469,810,2.319287061691284
1593974905.2213395,820,2.313232421875
1593974908.5675912,830,2.3085455894470215
1593974911.9219756,840,2.30208683013916
1593974915.4670117,850,2.29609751701355
1593974919.2122803,860,2.292041063308716
1593974923.2584748,870,2.289222478866577
1593974927.069804,880,2.2850804328918457
1593974930.2734861,890,2.2803897857666016
1593974933.9676008,900,2.277621030807495
1593974937.4408517,910,2.272336006164551
1593974941.322839,920,2.267484664916992
1593974945.8259706,930,2.260093927383423
1593974949.8613427,940,2.253848075866699
1593974953.4542625,950,2.2478861808776855
1593974957.0463223,960,2.241018056869507
1593974961.3795044,970,2.232757091522217
1593974965.3014097,980,2.230839490890503
1593974969.038902,990,2.2231945991516113
1593974973.337874,1000,2.2181358337402344
1593975031.5132868,1000,2.2181358337402344
