Wall time,Step,Value
1593963465.0719395,10,4.16810417175293
1593963467.5981536,20,4.322916507720947
1593963470.0969565,30,3.5944530963897705
1593963473.2641044,40,3.3350629806518555
1593963476.6360354,50,3.6853370666503906
1593963480.0535731,60,4.0530829429626465
1593963483.5839539,70,3.6628217697143555
1593963486.9174619,80,3.9306352138519287
1593963490.4560966,90,4.0725603103637695
1593963493.9986923,100,3.2571444511413574
1593963497.1197913,110,3.5494384765625
1593963500.5146317,120,3.74787974357605
1593963503.4627268,130,3.4496665000915527
1593963506.6376226,140,3.231778144836426
1593963510.0453713,150,4.117110252380371
1593963513.7986116,160,4.284994125366211
1593963518.0104783,170,3.9925923347473145
1593963521.8534038,180,3.097494125366211
1593963525.40944,190,3.5868210792541504
1593963528.9520319,200,3.3213441371917725
1593963532.523778,210,3.0663962364196777
1593963535.4614432,220,2.826481580734253
1593963538.9964068,230,3.659102439880371
1593963542.2536876,240,3.676621198654175
1593963545.6103826,250,4.044571876525879
1593963549.453577,260,3.0878591537475586
1593963553.0680673,270,3.252657890319824
1593963556.6151257,280,0.5376681089401245
1593963559.9667919,290,3.0989487171173096
1593963563.2169795,300,3.8255741596221924
1593963566.690145,310,3.6698060035705566
1593963570.2135997,320,2.922513961791992
1593963573.9953814,330,3.2479875087738037
1593963578.9696553,340,3.1406002044677734
1593963581.5524402,350,0.2240687608718872
1593963584.898967,360,3.71211838722229
1593963588.5599556,370,3.690096378326416
1593963591.9522207,380,3.3735198974609375
1593963595.462433,390,3.4784390926361084
1593963599.3497543,400,3.354010820388794
1593963603.008919,410,2.9895009994506836
1593963606.5034683,420,3.090087413787842
1593963610.5113184,430,3.071727752685547
1593963613.995642,440,3.10536789894104
1593963617.645045,450,3.5791208744049072
1593963621.3861115,460,3.585900068283081
1593963625.0111964,470,3.051137924194336
1593963628.3299875,480,3.5842323303222656
1593963631.746175,490,3.655334949493408
1593963635.338114,500,3.2634308338165283
1593963639.1033545,510,2.9220163822174072
1593963643.0272565,520,3.0231330394744873
1593963646.58854,530,3.055546998977661
1593963650.3403666,540,3.4908974170684814
1593963653.908878,550,2.8714137077331543
1593963657.5260773,560,3.399690866470337
1593963660.9888783,570,3.0228116512298584
1593963664.6667652,580,3.3891830444335938
1593963668.1784923,590,2.6900992393493652
1593963671.8408902,600,2.699937343597412
1593963675.4914613,610,3.4303839206695557
1593963679.0058622,620,3.2419304847717285
1593963683.2732868,630,2.48079776763916
1593963686.782978,640,3.6425230503082275
1593963690.750544,650,3.5664310455322266
1593963694.3678038,660,2.681450843811035
1593963698.3651388,670,4.010648250579834
1593963701.9152792,680,3.000638723373413
1593963705.9246433,690,3.0864243507385254
1593963709.364351,700,3.4803881645202637
1593963712.849131,710,3.531954526901245
1593963716.6111956,720,2.560472011566162
1593963720.5545795,730,3.8221476078033447
1593963724.4596052,740,3.2396464347839355
1593963728.0493455,750,3.349707841873169
1593963731.4512804,760,3.5625011920928955
1593963735.0882344,770,3.999366283416748
1593963738.8874695,780,2.398982048034668
1593963742.664185,790,2.754481315612793
1593963746.6287708,800,3.1057896614074707
1593963750.7510943,810,3.134141206741333
1593963754.544836,820,2.1962130069732666
1593963758.3605678,830,2.6141672134399414
1593963762.2078488,840,3.608853816986084
1593963766.2883909,850,3.1099109649658203
1593963770.402262,860,3.244230270385742
1593963774.2931113,870,2.842744827270508
1593963778.1754096,880,2.8593835830688477
1593963782.027523,890,0.052389759570360184
1593963785.7617023,900,2.296555995941162
1593963789.1802962,910,2.6504063606262207
1593963793.150881,920,1.9734702110290527
1593963797.4124787,930,2.8726625442504883
1593963801.430184,940,2.473233222961426
1593963805.2773104,950,1.164258599281311
1593963809.3918376,960,2.2602646350860596
1593963813.1584513,970,3.215153217315674
1593963816.7188406,980,3.235227346420288
1593963820.4245212,990,2.0768916606903076
1593963824.2912822,1000,3.371281147003174
1593963884.7615798,1000,3.084320306777954
