Wall time,Step,Value
1583504363.6272233,10,3.37255859375
1583504365.747201,20,3.5696425437927246
1583504367.8457272,30,3.8964736461639404
1583504370.6109421,40,3.8548736572265625
1583504375.0475574,50,3.7846121788024902
1583504379.9063394,60,4.006449222564697
1583504384.5175645,70,3.633209466934204
1583504389.207907,80,4.004082679748535
1583504393.3068593,90,4.142258644104004
1583504398.2077606,100,4.100252151489258
1583504402.6400635,110,3.7332117557525635
1583504407.1496964,120,4.140804767608643
1583504411.8841498,130,3.7959342002868652
1583504416.3020127,140,3.4991250038146973
1583504420.1861145,150,3.8047797679901123
1583504424.7084358,160,3.472836494445801
1583504429.267986,170,3.4907138347625732
1583504433.701001,180,3.2946743965148926
1583504437.9511623,190,3.263199806213379
1583504442.5504558,200,3.528078556060791
1583504446.6281574,210,3.911709785461426
1583504451.8702807,220,4.007683277130127
1583504456.4899318,230,3.0964653491973877
1583504460.867079,240,3.1821906566619873
1583504465.303787,250,3.6656179428100586
1583504469.6373448,260,3.415245294570923
1583504474.1036682,270,3.8134779930114746
1583504479.0020947,280,3.159087657928467
1583504483.5089507,290,3.4714527130126953
1583504488.2208285,300,2.440371513366699
1583504492.62327,310,3.0521788597106934
1583504497.180553,320,3.2826650142669678
1583504502.1800919,330,3.2753376960754395
1583504506.4414902,340,2.9800310134887695
1583504511.087956,350,3.2882275581359863
1583504515.3941736,360,3.0747337341308594
1583504520.1001866,370,3.534787178039551
1583504524.8990827,380,3.0402657985687256
1583504529.6025467,390,2.8535797595977783
1583504533.655484,400,3.751857280731201
1583504537.977045,410,3.306910514831543
1583504542.8244495,420,3.4220032691955566
1583504547.5310912,430,3.2872321605682373
1583504552.6287925,440,3.044525146484375
1583504557.7701201,450,3.1158413887023926
1583504562.444498,460,3.1550724506378174
1583504566.5850155,470,3.1460530757904053
1583504571.0152388,480,2.923293113708496
1583504575.6240034,490,3.22676682472229
1583504580.056399,500,3.5524230003356934
1583504584.5373616,510,3.0299458503723145
1583504588.9781973,520,3.402089834213257
1583504593.7269769,530,3.1487948894500732
1583504597.865833,540,2.920602321624756
1583504603.1165614,550,3.8467254638671875
1583504608.0879374,560,3.112687110900879
1583504612.3622842,570,3.0905706882476807
1583504617.6103137,580,3.13468337059021
