Wall time,Step,Value
1583508353.6488075,10,1.1545321941375732
1583508359.1289432,20,1.1573588848114014
1583508364.592343,30,1.1561405658721924
1583508370.2164667,40,1.158811330795288
1583508376.5035098,50,1.159847378730774
1583508382.510857,60,1.1596755981445312
1583508388.8505533,70,1.1603620052337646
1583508394.9358392,80,1.1605799198150635
1583508401.338324,90,1.1600537300109863
1583508407.1506405,100,1.1612930297851562
1583508413.5064745,110,1.1615506410598755
1583508418.9447844,120,1.1606180667877197
1583508424.5778267,130,1.1609114408493042
1583508430.2017462,140,1.1601768732070923
1583508435.9989753,150,1.1600595712661743
1583508441.2010825,160,1.1602065563201904
1583508447.2002394,170,1.1604175567626953
1583508452.8961282,180,1.1603611707687378
1583508458.2964227,190,1.1607451438903809
1583508464.3950295,200,1.16080904006958
1583508470.1993473,210,1.1601810455322266
1583508476.5740213,220,1.1605298519134521
1583508482.5802207,230,1.1607283353805542
1583508488.2597046,240,1.1601238250732422
1583508494.3033447,250,1.1603196859359741
1583508500.3475308,260,1.1605796813964844
1583508506.0750394,270,1.1604567766189575
1583508512.0863552,280,1.160178542137146
1583508518.4480999,290,1.1598771810531616
1583508524.1988313,300,1.1600795984268188
1583508530.2173285,310,1.1601253747940063
1583508536.2948806,320,1.1601145267486572
1583508542.2818537,330,1.1601057052612305
1583508547.3195894,340,1.1600711345672607
1583508553.3270593,350,1.1597976684570312
1583508559.7100883,360,1.1593677997589111
1583508565.764911,370,1.1591968536376953
1583508571.5807962,380,1.158798098564148
1583508577.9616997,390,1.158510446548462
1583508584.0662613,400,1.1581224203109741
1583508589.8556232,410,1.1577630043029785
1583508596.2021363,420,1.1577562093734741
1583508602.042038,430,1.157699704170227
1583508607.766284,440,1.1573716402053833
1583508614.1270802,450,1.1572436094284058
1583508619.8406456,460,1.157220482826233
1583508625.8859582,470,1.1568527221679688
1583508631.6880128,480,1.15645170211792
1583508637.164189,490,1.1563119888305664
1583508643.3015122,500,1.1560450792312622
1583508649.0446773,510,1.155739665031433
1583508655.1482284,520,1.155377745628357
1583508661.219927,530,1.1550803184509277
1583508667.2636652,540,1.1546891927719116
1583508672.9355707,550,1.1544764041900635
1583508679.093825,560,1.1541354656219482
1583508684.8423886,570,1.1537678241729736
1583508691.2211413,580,1.1534558534622192
1583508697.5584662,590,1.1534708738327026
1583508703.61389,600,1.153255820274353
1583508709.658599,610,1.1527906656265259
1583508715.3390265,620,1.152857780456543
1583508721.7170413,630,1.1528651714324951
1583508727.0654337,640,1.1525462865829468
1583508732.829303,650,1.1520763635635376
1583508738.9339774,660,1.1516191959381104
1583508744.9614265,670,1.1512686014175415
1583508750.407119,680,1.1506776809692383
1583508755.8148377,690,1.1500688791275024
1583508761.8456533,700,1.1495102643966675
1583508767.9097862,710,1.149160623550415
1583508773.5559905,720,1.1487605571746826
1583508779.6200287,730,1.1481817960739136
1583508785.9800477,740,1.1478042602539062
1583508792.0239658,750,1.147367238998413
1583508797.7646384,760,1.1466327905654907
1583508803.5667856,770,1.1457338333129883
1583508809.2714763,780,1.1450412273406982
1583508815.3188043,790,1.1442371606826782
1583508821.3573318,800,1.1434396505355835
1583508827.7468092,810,1.1428791284561157
1583508833.8162801,820,1.1424312591552734
1583508839.8550773,830,1.1417025327682495
1583508845.3260348,840,1.1407955884933472
1583508851.391359,850,1.13997220993042
1583508857.154493,860,1.1386141777038574
1583508863.2210445,870,1.1375404596328735
1583508868.9377825,880,1.1366413831710815
1583508874.6148736,890,1.1355262994766235
1583508880.4090104,900,1.1342986822128296
1583508886.3837924,910,1.1334571838378906
1583508892.4611645,920,1.132069706916809
1583508898.2492104,930,1.1308883428573608
1583508904.2326894,940,1.1292028427124023
1583508910.1078885,950,1.1272187232971191
1583508915.8759954,960,1.1254807710647583
1583508922.2580917,970,1.1235723495483398
1583508928.0505035,980,1.1217284202575684
1583508934.1553328,990,1.1206196546554565
1583508939.919501,1000,1.1180849075317383
1583508945.0418682,1010,1.1161781549453735
1583508951.4350033,1020,1.114378571510315
1583508957.540366,1030,1.1116855144500732
1583508963.6304693,1040,1.110032081604004
1583508969.0892825,1050,1.1081321239471436
1583508974.8158827,1060,1.1061251163482666
1583508980.5814679,1070,1.1036370992660522
1583508986.4071655,1080,1.101331353187561
1583508992.8402178,1090,1.0995436906814575
1583508998.601359,1100,1.097353458404541
1583509004.3781269,1110,1.0952060222625732
1583509010.4707417,1120,1.0923396348953247
1583509016.5385993,1130,1.0907866954803467
1583509023.61086,1140,1.0892326831817627
1583509029.3429477,1150,1.087100863456726
1583509035.3670418,1160,1.0853642225265503
1583509041.1334064,1170,1.082981824874878
1583509047.2472167,1180,1.0805730819702148
1583509053.5908165,1190,1.0791875123977661
1583509058.4004874,1200,1.076240062713623
1583509063.5612044,1210,1.0736157894134521
1583509069.5302763,1220,1.0708235502243042
1583509075.2617242,1230,1.0682902336120605
1583509081.2371688,1240,1.0670320987701416
1583509086.917139,1250,1.06501305103302
1583509093.275738,1260,1.0629929304122925
1583509099.3622146,1270,1.0610178709030151
1583509105.1483822,1280,1.058425784111023
1583509111.1826565,1290,1.0565171241760254
1583509117.2164953,1300,1.0544389486312866
1583509122.8981898,1310,1.051832675933838
1583509128.4152894,1320,1.0497252941131592
1583509134.4130764,1330,1.047587275505066
1583509140.256033,1340,1.0457186698913574
1583509146.0985692,1350,1.0439585447311401
1583509151.526929,1360,1.0414206981658936
1583509157.8869526,1370,1.0393357276916504
1583509164.8252316,1380,1.0370360612869263
1583509171.1587787,1390,1.034574031829834
1583509177.1846027,1400,1.0322731733322144
1583509182.6836193,1410,1.030071496963501
1583509188.4729352,1420,1.0277436971664429
1583509194.461235,1430,1.0255963802337646
1583509199.931137,1440,1.0228310823440552
1583509205.6570709,1450,1.0203288793563843
1583509211.7784266,1460,1.0177984237670898
1583509217.5658698,1470,1.0154448747634888
1583509222.9629579,1480,1.0132696628570557
1583509229.365781,1490,1.0111078023910522
1583509235.6975665,1500,1.0089043378829956
1583509240.8859878,1510,1.006456732749939
1583509247.1940668,1520,1.0040631294250488
1583509253.2432191,1530,1.0015684366226196
1583509259.5917492,1540,0.9989684224128723
1583509265.3703024,1550,0.9959527850151062
1583509271.464494,1560,0.9936999082565308
1583509277.5086052,1570,0.9913044571876526
1583509283.8945053,1580,0.9887744784355164
1583509289.3336954,1590,0.9864294528961182
1583509295.430385,1600,0.9843305945396423
1583509301.5021098,1610,0.9822619557380676
1583509307.2464771,1620,0.9803959131240845
1583509313.6239367,1630,0.978411853313446
1583509319.665723,1640,0.9764302372932434
1583509325.4950728,1650,0.9743947386741638
1583509331.854269,1660,0.9720746278762817
1583509338.1522427,1670,0.969904899597168
1583509344.2047505,1680,0.967894434928894
1583509350.324437,1690,0.9654690027236938
1583509356.7278545,1700,0.9630622267723083
1583509362.8539705,1710,0.9610668420791626
1583509368.6443653,1720,0.9588718414306641
1583509374.8129656,1730,0.9569048285484314
1583509380.8044715,1740,0.9549804925918579
1583509386.9498522,1750,0.9531021118164062
1583509393.3045282,1760,0.9510805010795593
1583509399.6909525,1770,0.9488667249679565
1583509405.7777023,1780,0.9470826387405396
1583509411.816456,1790,0.9449381232261658
1583509417.5265484,1800,0.9434481263160706
1583509422.9940507,1810,0.941886842250824
1583509429.372729,1820,0.9398161768913269
1583509436.3366666,1830,0.9376703500747681
1583509442.8022358,1840,0.9362487196922302
1583509449.3607607,1850,0.9346258044242859
1583509455.1910844,1860,0.9328587055206299
1583509460.9232063,1870,0.9314394593238831
1583509467.2848318,1880,0.929495632648468
1583509472.6711423,1890,0.9277296662330627
1583509479.8674533,1900,0.9260168075561523
1583509485.866786,1910,0.9239482879638672
1583509491.1816778,1920,0.9224441647529602
1583509497.1266284,1930,0.9210402369499207
1583509503.4360325,1940,0.9190410375595093
1583509509.4830902,1950,0.9172752499580383
1583509515.550876,1960,0.9155164361000061
1583509521.5621033,1970,0.9135597348213196
1583509527.27701,1980,0.9115974307060242
1583509533.2869842,1990,0.9098812937736511
1583509539.5892901,2000,0.9082376956939697
1583509616.7407172,2000,0.9082376956939697
