Wall time,Step,Value
1583567134.7249959,10,2.824145793914795
1583567143.7151392,20,2.8558297157287598
1583567150.6739838,30,2.906029462814331
1583567157.1126769,40,2.894583225250244
1583567163.1725268,50,2.8982813358306885
1583567169.4036446,60,2.855004072189331
1583567175.646219,70,2.868938446044922
1583567181.5795174,80,2.8814456462860107
1583567187.809208,90,2.875791072845459
1583567194.1324642,100,2.8700485229492188
1583567199.740981,110,2.8754231929779053
1583567206.0918207,120,2.8744008541107178
1583567212.2298803,130,2.8589203357696533
1583567218.7385008,140,2.857656717300415
1583567225.1074736,150,2.851936101913452
1583567231.4332943,160,2.835453510284424
1583567237.6690855,170,2.835292339324951
1583567243.8968897,180,2.822556257247925
1583567250.1112905,190,2.8136353492736816
1583567259.3653889,200,2.819711923599243
1583567265.5600824,210,2.808065176010132
1583567272.1083796,220,2.8038485050201416
1583567277.7628384,230,2.8011269569396973
1583567283.7051544,240,2.799534797668457
1583567290.3411543,250,2.802508592605591
1583567295.9961312,260,2.803083658218384
1583567302.1018856,270,2.7996394634246826
1583567308.295288,280,2.788080930709839
1583567314.5943735,290,2.792032241821289
1583567320.769325,300,2.7857701778411865
1583567327.2108803,310,2.780762195587158
1583567333.5326316,320,2.7791357040405273
1583567339.6812572,330,2.769115686416626
1583567346.0153072,340,2.769008159637451
1583567351.9850032,350,2.76450777053833
1583567357.8454525,360,2.7580106258392334
1583567363.9047425,370,2.7607123851776123
1583567370.369843,380,2.7600812911987305
1583567376.3330326,390,2.7584872245788574
1583567382.7110407,400,2.7613766193389893
1583567388.6396601,410,2.756223440170288
1583567394.953203,420,2.751880407333374
1583567400.5511339,430,2.747666120529175
1583567407.0991263,440,2.747020959854126
1583567413.3861115,450,2.7411422729492188
1583567419.6383033,460,2.738609790802002
1583567426.0710227,470,2.7372145652770996
1583567432.592316,480,2.7334694862365723
1583567438.8812258,490,2.732388734817505
1583567445.0808282,500,2.7308926582336426
1583567451.6469948,510,2.7308461666107178
1583567457.9597943,520,2.7284045219421387
1583567464.4615753,530,2.7226696014404297
1583567470.6462796,540,2.7200911045074463
1583567476.6851346,550,2.7160239219665527
1583567482.742279,560,2.7105236053466797
1583567488.990874,570,2.7088661193847656
1583567495.0637245,580,2.7058722972869873
1583567501.1012464,590,2.704683303833008
1583567507.166195,600,2.7011940479278564
