Wall time,Step,Value
1583511485.6880856,10,5.644074440002441
1583511491.425819,20,5.463628768920898
1583511497.652596,30,4.999373435974121
1583511503.7514818,40,5.341644287109375
1583511509.4420083,50,5.0868988037109375
1583511515.5747802,60,5.218756675720215
1583511521.6260834,70,5.247939109802246
1583511528.0280528,80,5.130782127380371
1583511534.0938425,90,4.959833145141602
1583511539.840871,100,4.944005012512207
1583511545.9305162,110,5.116055488586426
1583511551.6062565,120,4.815739154815674
1583511557.889313,130,4.77163553237915
1583511563.5724163,140,4.963331699371338
1583511569.5853465,150,4.013638973236084
1583511575.8087642,160,4.191499710083008
1583511581.207148,170,4.454311847686768
1583511587.0344732,180,3.6704866886138916
1583511592.5395274,190,3.699003219604492
1583511598.252331,200,3.485126256942749
1583511604.0647087,210,3.359163761138916
1583511609.48326,220,3.869584798812866
1583511615.3036542,230,3.872645378112793
1583511621.661727,240,3.697669506072998
1583511628.041194,250,3.534806251525879
1583511633.7542706,260,3.5456631183624268
1583511639.230611,270,4.111535549163818
1583511645.0136044,280,3.8864340782165527
1583511651.131773,290,3.1441597938537598
1583511656.5675519,300,2.960181474685669
1583511662.9502642,310,3.7269082069396973
1583511668.970808,320,3.4156534671783447
1583511674.7625961,330,3.122673749923706
1583511680.5442405,340,3.6768970489501953
1583511686.6578462,350,3.47440767288208
1583511692.699889,360,3.181960105895996
1583511698.5117588,370,3.0864980220794678
1583511704.6519911,380,3.690911054611206
1583511710.7116382,390,3.8776445388793945
1583511716.208033,400,3.2572689056396484
1583511721.7247562,410,4.278313159942627
1583511727.458595,420,4.296773433685303
1583511733.6087208,430,3.428284168243408
1583511739.6397073,440,3.6747264862060547
1583511745.3973327,450,3.3126230239868164
1583511751.514418,460,3.4481263160705566
1583511757.921745,470,3.2828590869903564
1583511764.9314337,480,2.803858757019043
1583511770.6969686,490,3.268333673477173
1583511776.7194955,500,3.670741081237793
1583511782.359396,510,3.396636486053467
1583511788.3690767,520,4.014352798461914
1583511794.3452787,530,3.693225622177124
1583511800.6648693,540,3.3213531970977783
1583511806.1339562,550,3.3414125442504883
1583511811.812626,560,4.562970161437988
1583511817.8105333,570,3.6001811027526855
1583511822.9626536,580,3.2553670406341553
1583511829.0132997,590,3.2231621742248535
1583511835.4154072,600,3.284853458404541
1583511841.7867546,610,3.007831573486328
1583511847.8367603,620,3.3343820571899414
1583511853.8949182,630,3.3205137252807617
1583511859.5939858,640,3.1136398315429688
1583511865.6856833,650,3.775535821914673
1583511871.6110392,660,4.395545959472656
1583511877.3515887,670,3.2567355632781982
1583511882.862057,680,3.2347335815429688
1583511889.1847863,690,2.9754576683044434
1583511895.6189463,700,3.6408894062042236
1583511901.8976963,710,3.305786609649658
1583511907.9446766,720,2.9771008491516113
1583511914.3674262,730,3.3643059730529785
1583511920.0331304,740,3.7024290561676025
1583511925.7758636,750,3.5032365322113037
1583511931.7670453,760,3.1641361713409424
1583511937.7152672,770,2.83673357963562
1583511942.79853,780,3.8549206256866455
1583511949.239683,790,3.6308341026306152
1583511955.177478,800,3.126157283782959
1583511961.4704812,810,3.302353620529175
1583511967.1024814,820,3.337717056274414
1583511973.1153977,830,3.1871447563171387
1583511979.1730971,840,2.984980344772339
1583511984.8814213,850,2.861212968826294
1583511990.330202,860,3.1690385341644287
1583511996.322067,870,3.3070945739746094
1583512001.973871,880,2.9474098682403564
1583512007.7419739,890,2.8771049976348877
1583512013.491833,900,3.1791799068450928
1583512019.5051944,910,3.0009095668792725
1583512025.4764357,920,3.493723154067993
1583512031.757644,930,3.242276668548584
1583512038.0836263,940,3.360889434814453
1583512044.2272007,950,2.930107355117798
1583512051.2384193,960,3.476348876953125
1583512057.5033545,970,2.8587646484375
1583512063.9088075,980,3.1248888969421387
1583512069.6939945,990,3.0621142387390137
1583512075.1460414,1000,2.859046459197998
1583512080.7672102,1010,3.242607831954956
1583512086.8129723,1020,3.387159824371338
1583512092.9582403,1030,3.541872262954712
1583512098.9572508,1040,2.753793954849243
1583512104.7448525,1050,3.2472033500671387
1583512110.58214,1060,2.769195556640625
1583512116.6016982,1070,3.149164915084839
1583512122.3904135,1080,3.3571324348449707
1583512128.2084742,1090,3.0514302253723145
1583512134.3343906,1100,3.5885539054870605
1583512140.3501272,1110,2.7346854209899902
1583512146.7729735,1120,2.8083574771881104
1583512152.2792866,1130,3.4580881595611572
1583512157.7857795,1140,2.606847047805786
1583512163.3530285,1150,3.0282320976257324
1583512169.685485,1160,2.5659518241882324
1583512175.1051478,1170,2.7556076049804688
1583512181.042817,1180,2.5480422973632812
1583512187.3663979,1190,2.930558204650879
1583512193.3178926,1200,2.6029582023620605
1583512199.6088233,1210,2.514829397201538
1583512205.0299704,1220,2.941260814666748
1583512211.084712,1230,2.8033273220062256
1583512216.821827,1240,3.4855480194091797
1583512222.5695348,1250,2.807396411895752
1583512228.0392044,1260,2.4928364753723145
1583512234.3150234,1270,3.080573558807373
1583512240.0439694,1280,2.749436616897583
1583512246.3549984,1290,2.575382709503174
1583512252.377942,1300,2.995547294616699
1583512258.1511474,1310,2.9824440479278564
1583512263.6653605,1320,3.8081934452056885
1583512270.1649323,1330,2.753082036972046
1583512276.260088,1340,2.8207008838653564
1583512282.045578,1350,2.555793285369873
1583512287.809368,1360,3.600151538848877
1583512293.9120548,1370,2.753046989440918
1583512299.639195,1380,2.552211046218872
1583512306.0315418,1390,2.4754624366760254
1583512311.7413158,1400,3.3908724784851074
1583512317.1395118,1410,2.5257155895233154
1583512323.20141,1420,2.6146762371063232
1583512329.1852663,1430,2.4278345108032227
1583512334.9630215,1440,2.896942138671875
1583512340.6994283,1450,2.767566680908203
1583512346.714422,1460,3.515455722808838
1583512352.6960301,1470,2.4948501586914062
1583512358.6938992,1480,3.0591931343078613
1583512364.7129974,1490,3.1741158962249756
1583512371.018311,1500,2.8156697750091553
1583512376.717164,1510,2.6627488136291504
1583512382.8535533,1520,2.4973480701446533
1583512389.5219996,1530,3.1293249130249023
1583512395.8970327,1540,2.5790348052978516
1583512401.6641119,1550,2.7148618698120117
1583512407.0870483,1560,3.2688355445861816
1583512412.5096552,1570,2.31296443939209
1583512418.6356945,1580,3.0059144496917725
1583512423.9711518,1590,2.650552988052368
